epoch,train_loss,val_loss,val_ppl,lr,seconds
1,5.42762,4.45099,85.712,1.00e-03,337.7
2,4.76569,4.00385,54.809,1.00e-03,338.7
3,4.36214,3.84665,46.836,1.00e-03,337.8
4,4.06996,3.68142,39.703,1.00e-03,338.3
5,3.86147,3.63000,37.713,1.00e-03,337.8
6,3.71840,3.57754,35.785,1.00e-03,337.5
7,3.59562,3.63398,37.863,1.00e-03,338.4
8,3.52512,3.59118,36.277,1.00e-03,338.0
9,3.30711,3.56222,35.241,5.00e-04,337.8
10,3.20644,3.53147,34.174,5.00e-04,337.7
11,3.13739,3.55846,35.109,5.00e-04,338.0
12,3.08822,3.56401,35.305,5.00e-04,337.4
13,2.97989,3.56748,35.427,2.50e-04,337.5
14,2.91810,3.55162,34.870,2.50e-04,337.2
15,2.85525,3.56855,35.465,1.25e-04,337.8
